colaborador_id,idade,genero,estado_civil,escolaridade,area,cargo,nivel_cargo,data_admissao,tempo_empresa_anos,salario_mensal,distancia_casa_km,horas_extras,viagens_negocio,satisfacao_trabalho,satisfacao_ambiente,equilibrio_vida_trabalho,avaliacao_desempenho,treinamentos_ultimo_ano,recebeu_promocao_5_anos,rotatividade,data_desligamento,motivo_desligamento
COL-0016,32,Feminino,Casado(a),Pós-graduação,Marketing,Analista de Marketing,1,2025-01-01,1,6850.0,36,Sim,Raramente,4,2,1,4,1,Não,Não,,Não se aplica
COL-0017,51,Feminino,Divorciado(a),Graduação,Comercial,Analista Comercial,4,2019-07-01,6,10500.0,20,Não,Raramente,4,1,3,3,3,Não,Não,,Não se aplica
COL-0018,55,Masculino,Casado(a),Graduação,Financeiro,Especialista Financeiro,5,2013-09-04,13,13450.0,33,Sim,Nunca,2,2,2,2,6,Não,Não,,Não se aplica
COL-0019,29,Não binário,Divorciado(a),Tecnólogo,Marketing,Analista de Marketing,1,2019-02-28,6,6050.0,8,Sim,Nunca,2,1,5,5,5,Não,Não,,Não se aplica
COL-0020,20,Feminino,Casado(a),Mestrado,Marketing,Analista de Marketing,1,2024-11-16,1,5850.0,37,Sim,Nunca,2,1,3,3,0,Não,Não,,Não se aplica
COL-0021,52,Feminino,Casado(a),Graduação,Recursos Humanos,Business Partner,4,2025-06-02,1,11300.0,52,Não,Nunca,1,2,5,3,5,Não,Sim,2025-11-26 09:21:43.819,Mudança de cidade
COL-0022,58,Masculino,União estável,Ensino médio,Recursos Humanos,Business Partner,4,2014-10-17,12,10100.0,4,Sim,Frequentemente,3,3,3,3,6,Não,Sim,2025-10-27 20:44:22.542,Reestruturação organizacional
COL-0023,33,Feminino,Casado(a),Mestrado,Financeiro,Analista Financeiro,2,2024-03-01,1,7700.0,21,Sim,Nunca,4,1,3,4,5,Não,Sim,2025-12-07 23:33:40.610,Reestruturação organizacional
COL-0024,60,Masculino,Casado(a),Graduação,Marketing,Especialista de Marketing,4,2015-10-20,11,11000.0,41,Não,Nunca,3,4,2,3,1,Sim,Sim,2022-10-19 13:47:00.629,Falta de perspectiva de crescimento
COL-0025,56,Feminino,Solteiro(a),Tecnólogo,Operações,Coordenador de Operações,4,2014-01-19,11,10900.0,44,Não,Raramente,5,2,5,5,2,Não,Não,,Não se aplica
COL-0026,57,Feminino,União estável,Tecnólogo,Recursos Humanos,Business Partner,4,2018-04-02,7,10550.0,25,Não,Frequentemente,5,1,3,5,1,Não,Não,,Não se aplica
COL-0027,59,Feminino,Casado(a),Mestrado,Operações,Coordenador de Operações,4,2014-10-21,12,10950.0,6,Não,Nunca,4,5,1,2,3,Não,Não,,Não se aplica
COL-0028,56,Masculino,Divorciado(a),Tecnólogo,Operações,Coordenador de Operações,4,2013-05-02,12,10250.0,31,Não,Raramente,2,2,2,3,1,Sim,Não,,Não se aplica
COL-0029,47,Masculino,União estável,Pós-graduação,Comercial,Analista Comercial,4,2025-07-22,0,11000.0,39,Não,Raramente,3,3,1,3,3,Não,Não,,Não se aplica
COL-0030,36,Feminino,União estável,Pós-graduação,Recursos Humanos,Business Partner,3,2013-07-20,12,9750.0,40,Não,Frequentemente,2,1,3,3,3,Não,Não,,Não se aplica
COL-0031,42,Não binário,Casado(a),Ensino médio,Marketing,Especialista de Marketing,3,2012-11-25,13,10100.0,34,Não,Raramente,1,4,1,4,6,Não,Sim,2022-04-12 22:08:05.382,Desempenho abaixo do esperado
COL-0032,21,Masculino,Casado(a),Graduação,Marketing,Analista de Marketing,1,2024-04-27,1,5950.0,9,Sim,Nunca,5,2,3,4,2,Não,Sim,2026-03-20 00:28:56.907,Reestruturação organizacional
COL-0033,22,Masculino,Divorciado(a),Mestrado,Comercial,Executivo de Contas,1,2022-09-16,3,5600.0,52,Não,Nunca,1,3,3,3,4,Não,Não,,Não se aplica
COL-0034,51,Masculino,Solteiro(a),Graduação,Tecnologia,Analista de Dados,4,2021-07-14,5,12500.0,43,Sim,Frequentemente,2,5,4,4,3,Sim,Sim,2023-07-30 07:37:49.487,Desempenho abaixo do esperado
COL-0035,54,Feminino,União estável,Graduação,Comercial,Analista Comercial,4,2024-06-20,1,10500.0,39,Não,Frequentemente,3,3,2,2,5,Não,Não,,Não se aplica
COL-0036,52,Feminino,Divorciado(a),Pós-graduação,Recursos Humanos,Business Partner,4,2012-05-27,13,11650.0,48,Não,Raramente,2,5,2,3,3,Sim,Não,,Não se aplica
COL-0037,39,Masculino,Solteiro(a),Tecnólogo,Comercial,Executivo de Contas,2,2012-03-22,13,8250.0,28,Sim,Frequentemente,2,3,2,3,0,Não,Não,,Não se aplica
COL-0038,23,Masculino,Solteiro(a),Graduação,Recursos Humanos,Analista de RH,1,2024-08-06,2,6700.0,2,Sim,Raramente,2,4,4,4,3,Não,Não,,Não se aplica
COL-0039,33,Não binário,União estável,Ensino médio,Recursos Humanos,Analista de RH,2,2013-09-11,12,7850.0,19,Sim,Raramente,4,1,1,3,4,Não,Não,,Não se aplica
COL-0040,21,Masculino,Solteiro(a),Tecnólogo,Tecnologia,Desenvolvedor,1,2024-07-09,1,7450.0,46,Não,Frequentemente,5,5,1,4,2,Não,Não,,Não se aplica
COL-0041,54,Masculino,Solteiro(a),Tecnólogo,Financeiro,Controller,4,2011-06-25,14,11500.0,48,Não,Raramente,2,3,1,2,0,Não,Não,,Não se aplica
COL-0042,42,Masculino,Casado(a),Pós-graduação,Atendimento,Analista de Atendimento,3,2020-02-15,5,8500.0,49,Não,Nunca,3,1,1,4,1,Não,Não,,Não se aplica
COL-0043,55,Masculino,Casado(a),Mestrado,Financeiro,Controller,4,2012-08-03,13,10900.0,27,Não,Nunca,5,3,5,2,3,Não,Não,,Não se aplica
COL-0044,56,Masculino,Casado(a),Graduação,Tecnologia,Analista de Dados,3,2014-07-05,12,11050.0,13,Sim,Raramente,3,5,5,2,3,Sim,Não,,Não se aplica
COL-0045,36,Não binário,Divorciado(a),Tecnólogo,Operações,Coordenador de Operações,3,2017-12-21,9,9050.0,19,Não,Frequentemente,2,1,1,4,1,Sim,Não,,Não se aplica
COL-0046,57,Masculino,Casado(a),Graduação,Marketing,Coordenador de Marketing,5,2021-07-08,5,11950.0,1,Sim,Nunca,4,1,1,4,0,Não,Não,,Não se aplica
COL-0047,35,Masculino,União estável,Pós-graduação,Comercial,Executivo de Contas,2,2026-06-11,0,7500.0,12,Sim,Nunca,1,3,5,2,4,Não,Sim,2026-09-09 00:00:00.000,Qualidade de vida
COL-0048,47,Masculino,Casado(a),Mestrado,Financeiro,Controller,3,2018-10-13,7,10550.0,21,Sim,Frequentemente,1,2,5,4,1,Sim,Não,,Não se aplica
COL-0049,38,Masculino,União estável,Graduação,Operações,Coordenador de Operações,3,2020-06-22,6,8600.0,50,Não,Frequentemente,2,4,4,3,1,Não,Não,,Não se aplica
COL-0050,20,Não binário,Solteiro(a),Graduação,Comercial,Executivo de Contas,1,2025-07-06,0,5200.0,13,Não,Frequentemente,1,4,2,5,6,Não,Sim,2026-01-29 14:58:35.753,Mudança de cidade
COL-0051,42,Não binário,Divorciado(a),Graduação,Operações,Coordenador de Operações,3,2017-07-23,9,9850.0,22,Não,Frequentemente,3,2,2,3,0,Não,Não,,Não se aplica
COL-0052,39,Masculino,Casado(a),Graduação,Tecnologia,Analista de Dados,3,2014-10-11,11,10200.0,46,Não,Nunca,3,5,2,3,1,Sim,Sim,2026-01-14 16:26:24.409,Nova oportunidade profissional
COL-0053,40,Feminino,Casado(a),Pós-graduação,Operações,Analista de Operações,2,2017-11-25,8,8200.0,20,Não,Raramente,4,5,2,4,2,Não,Não,,Não se aplica
COL-0054,60,Masculino,Solteiro(a),Graduação,Financeiro,Controller,4,2012-06-01,13,12250.0,34,Não,Raramente,4,1,5,3,5,Não,Não,,Não se aplica
COL-0055,57,Não binário,Casado(a),Graduação,Tecnologia,Analista de Dados,4,2011-10-17,14,12950.0,23,Sim,Frequentemente,4,5,2,3,6,Não,Não,,Não se aplica
COL-0056,26,Masculino,Divorciado(a),Mestrado,Financeiro,Analista Financeiro,2,2020-05-20,5,7800.0,14,Sim,Raramente,4,4,2,4,5,Sim,Não,,Não se aplica
COL-0057,55,Masculino,Casado(a),Graduação,Tecnologia,Engenheiro de Dados,5,2025-04-23,0,13350.0,45,Não,Raramente,2,2,1,3,1,Não,Não,,Não se aplica
COL-0058,50,Feminino,Solteiro(a),Graduação,Tecnologia,Analista de Dados,4,2018-03-01,7,12400.0,39,Não,Raramente,1,2,5,5,1,Não,Não,,Não se aplica
COL-0059,56,Não binário,Casado(a),Pós-graduação,Marketing,Especialista de Marketing,4,2023-05-11,2,11700.0,16,Sim,Nunca,3,5,1,3,5,Não,Não,,Não se aplica
COL-0060,47,Feminino,União estável,Graduação,Atendimento,Analista de Atendimento,4,2021-12-16,5,9050.0,35,Não,Nunca,2,3,4,5,1,Não,Não,,Não se aplica
COL-0061,41,Feminino,Casado(a),Graduação,Marketing,Especialista de Marketing,4,2020-05-17,5,10350.0,51,Sim,Nunca,4,1,2,3,0,Sim,Não,,Não se aplica
COL-0062,30,Masculino,Casado(a),Graduação,Atendimento,Analista de Atendimento,3,2024-05-14,1,7850.0,29,Sim,Frequentemente,3,2,5,3,1,Não,Sim,2026-06-28 18:38:50.928,Mudança de cidade
COL-0063,21,Masculino,Casado(a),Pós-graduação,Comercial,Executivo de Contas,1,2022-07-23,3,5800.0,40,Sim,Raramente,4,4,3,5,2,Não,Sim,2024-04-29 12:44:01.899,Mudança de cidade
COL-0064,56,Feminino,União estável,Pós-graduação,Financeiro,Controller,4,2022-03-21,4,11200.0,5,Não,Raramente,1,5,2,4,2,Não,Não,,Não se aplica
COL-0065,42,Não binário,Casado(a),Mestrado,Marketing,Especialista de Marketing,3,2022-05-22,3,9550.0,27,Sim,Raramente,4,2,5,5,2,Não,Não,,Não se aplica
COL-0066,36,Feminino,Casado(a),Pós-graduação,Operações,Analista de Operações,2,2022-01-18,3,7550.0,34,Não,Frequentemente,4,2,4,5,0,Não,Não,,Não se aplica
COL-0067,24,Feminino,Divorciado(a),Graduação,Tecnologia,Desenvolvedor,1,2020-12-27,6,7850.0,49,Não,Raramente,5,3,2,5,0,Não,Não,,Não se aplica
COL-0068,35,Não binário,Casado(a),Mestrado,Marketing,Analista de Marketing,2,2013-12-07,12,8450.0,49,Sim,Nunca,4,3,3,4,6,Não,Não,,Não se aplica
COL-0069,57,Feminino,Solteiro(a),Pós-graduação,Recursos Humanos,Especialista de Pessoas,5,2024-04-02,2,12700.0,5,Não,Frequentemente,2,2,4,4,1,Não,Não,,Não se aplica
COL-0070,34,Feminino,Casado(a),Tecnólogo,Financeiro,Analista Financeiro,2,2024-08-03,1,8600.0,34,Não,Frequentemente,4,4,1,3,5,Não,Não,,Não se aplica
COL-0071,21,Masculino,Divorciado(a),Graduação,Tecnologia,Desenvolvedor,1,2022-07-01,3,7950.0,46,Não,Raramente,1,1,5,3,4,Não,Não,,Não se aplica
COL-0072,38,Feminino,Casado(a),Pós-graduação,Marketing,Especialista de Marketing,3,2014-03-18,11,10200.0,22,Não,Raramente,4,3,5,4,1,Não,Sim,2023-10-30 20:14:07.930,Remuneração e benefícios
COL-0073,60,Feminino,União estável,Graduação,Atendimento,Analista de Atendimento,4,2024-06-19,1,10300.0,12,Não,Raramente,2,4,4,2,6,Não,Não,,Não se aplica
COL-0074,57,Feminino,Divorciado(a),Graduação,Atendimento,Analista de Atendimento,4,2025-05-18,1,9700.0,26,Não,Nunca,3,3,3,3,0,Não,Não,,Não se aplica
COL-0075,46,Feminino,Solteiro(a),Mestrado,Financeiro,Controller,4,2019-02-12,7,10800.0,37,Não,Nunca,4,1,4,2,3,Não,Não,,Não se aplica
COL-0076,26,Feminino,Divorciado(a),Graduação,Operações,Analista de Operações,2,2023-10-27,3,7550.0,16,Sim,Raramente,3,4,4,4,5,Sim,Não,,Não se aplica
COL-0077,25,Não binário,Solteiro(a),Graduação,Financeiro,Analista Financeiro,1,2024-11-02,2,5750.0,7,Não,Raramente,3,5,3,5,6,Sim,Não,,Não se aplica
COL-0078,30,Masculino,Casado(a),Graduação,Comercial,Executivo de Contas,2,2020-01-12,5,8050.0,40,Não,Nunca,1,5,2,4,4,Sim,Sim,2024-02-12 19:58:20.110,Falta de perspectiva de crescimento
COL-0079,37,Não binário,Solteiro(a),Graduação,Recursos Humanos,Analista de RH,2,2019-11-26,7,7200.0,11,Sim,Nunca,4,3,1,3,4,Não,Não,,Não se aplica
COL-0080,26,Feminino,Divorciado(a),Ensino médio,Comercial,Executivo de Contas,1,2019-03-14,7,5700.0,49,Não,Nunca,5,4,3,3,6,Não,Não,,Não se aplica
COL-0081,57,Masculino,Casado(a),Tecnólogo,Tecnologia,Analista de Dados,4,2018-09-04,7,12500.0,25,Não,Nunca,5,3,2,4,1,Não,Sim,2025-09-21 14:16:15.938,Falta de perspectiva de crescimento
COL-0082,45,Masculino,Casado(a),Graduação,Marketing,Especialista de Marketing,3,2014-09-24,11,9950.0,28,Sim,Raramente,3,3,3,2,1,Não,Não,,Não se aplica
COL-0083,57,Não binário,Casado(a),Tecnólogo,Atendimento,Analista de Atendimento,3,2023-09-25,2,7850.0,35,Sim,Frequentemente,4,1,3,3,2,Não,Não,,Não se aplica
COL-0084,20,Masculino,Divorciado(a),Graduação,Operações,Analista de Operações,1,2025-12-24,0,5000.0,32,Não,Raramente,2,2,2,3,5,Não,Sim,2026-03-25 18:38:15.875,Qualidade de vida
COL-0085,41,Feminino,União estável,Mestrado,Recursos Humanos,Analista de RH,2,2023-02-16,2,7350.0,21,Não,Nunca,2,4,4,3,1,Não,Não,,Não se aplica
COL-0086,32,Não binário,Casado(a),Tecnólogo,Atendimento,Assistente de Atendimento,2,2014-06-04,11,7050.0,30,Sim,Frequentemente,1,4,3,3,1,Não,Sim,2023-09-09 08:46:47.257,Mudança de cidade
COL-0087,56,Feminino,Casado(a),Pós-graduação,Comercial,Analista Comercial,3,2015-05-25,10,8600.0,9,Sim,Nunca,3,4,5,4,6,Sim,Não,,Não se aplica
COL-0088,43,Não binário,Casado(a),Tecnólogo,Financeiro,Controller,4,2018-01-12,7,11400.0,22,Não,Raramente,3,4,2,3,6,Não,Não,,Não se aplica
COL-0089,32,Feminino,Solteiro(a),Pós-graduação,Marketing,Analista de Marketing,2,2011-12-26,14,7150.0,42,Não,Nunca,1,3,2,5,4,Não,Não,,Não se aplica
COL-0090,33,Não binário,Casado(a),Pós-graduação,Marketing,Analista de Marketing,2,2013-04-02,12,7850.0,16,Não,Frequentemente,3,2,5,3,1,Não,Não,,Não se aplica
COL-0091,47,Feminino,Casado(a),Graduação,Atendimento,Analista de Atendimento,3,2017-10-23,9,7700.0,13,Sim,Frequentemente,3,3,3,3,3,Sim,Não,,Não se aplica
COL-0092,36,Feminino,Casado(a),Graduação,Recursos Humanos,Business Partner,3,2025-08-26,1,9350.0,6,Não,Raramente,1,4,3,5,6,Não,Sim,2026-05-13 12:48:21.174,Nova oportunidade profissional
COL-0093,61,Não binário,Divorciado(a),Graduação,Tecnologia,Engenheiro de Dados,5,2013-03-26,12,14650.0,42,Não,Raramente,4,1,5,3,2,Sim,Não,,Não se aplica
COL-0094,31,Feminino,Casado(a),Pós-graduação,Recursos Humanos,Analista de RH,2,2016-08-02,9,7000.0,1,Não,Frequentemente,1,5,2,3,2,Não,Não,,Não se aplica
COL-0095,58,Feminino,Divorciado(a),Mestrado,Operações,Coordenador de Operações,4,2019-07-10,6,10700.0,14,Sim,Raramente,2,2,3,3,4,Sim,Não,,Não se aplica
COL-0096,44,Não binário,Casado(a),Graduação,Recursos Humanos,Business Partner,3,2019-11-18,7,9250.0,40,Sim,Frequentemente,1,4,4,3,3,Sim,Não,,Não se aplica
COL-0097,48,Não binário,União estável,Tecnólogo,Operações,Coordenador de Operações,4,2012-03-12,13,10300.0,23,Não,Frequentemente,5,1,2,3,3,Não,Não,,Não se aplica
COL-0098,29,Não binário,União estável,Tecnólogo,Recursos Humanos,Analista de RH,2,2019-05-12,6,7050.0,43,Não,Nunca,3,5,3,3,0,Não,Sim,2026-04-21 02:34:14.509,Desempenho abaixo do esperado
COL-0099,54,Feminino,União estável,Graduação,Operações,Coordenador de Operações,3,2013-01-26,13,8750.0,23,Sim,Raramente,5,2,2,5,0,Não,Não,,Não se aplica
COL-0100,25,Não binário,Casado(a),Tecnólogo,Marketing,Analista de Marketing,2,2021-12-12,4,7350.0,29,Sim,Raramente,5,1,3,3,5,Não,Não,,Não se aplica
COL-0101,45,Masculino,União estável,Não informado,Financeiro,Controller,3,2015-07-21,10,9200.0,18,Sim,Raramente,2,5,1,5,2,Não,Não,,Não se aplica
COL-0102,40,Não binário,Divorciado(a),Graduação,Atendimento,Assistente de Atendimento,2,2025-09-01,1,6450.0,29,Não,Nunca,4,2,2,4,2,Não,Sim,2026-05-14 12:12:11.873,Mudança de cidade
COL-0103,45,Feminino,Solteiro(a),Pós-graduação,Marketing,Especialista de Marketing,3,2018-10-19,8,8800.0,2,Não,Não informado,4,5,5,2,2,Sim,Não,,Não se aplica
COL-0104,49,Masculino,Casado(a),Pós-graduação,Recursos Humanos,Business Partner,3,2011-03-22,14,9300.0,48,Não,Raramente,3,1,1,3,6,Não,Não,,Não se aplica
COL-0105,44,Não binário,Casado(a),Graduação,Recursos Humanos,Analista de RH,2,2014-10-13,11,7100.0,15,Sim,Raramente,3,3,2,3,1,Sim,Não,,Não se aplica
COL-0106,49,Masculino,Solteiro(a),Pós-graduação,Financeiro,Controller,3,2011-08-05,14,9900.0,14,Sim,Raramente,5,1,3,2,1,Não,Não,,Não se aplica
COL-0107,51,Masculino,Solteiro(a),Mestrado,Operações,Coordenador de Operações,3,2024-11-01,1,8450.0,9,Não,Frequentemente,4,5,3,3,0,Não,Não,,Não se aplica
COL-0108,34,Masculino,União estável,Graduação,Tecnologia,Desenvolvedor,2,2016-12-14,10,8250.0,17,Sim,Raramente,3,2,5,3,3,Não,Sim,2022-04-09 08:53:52.463,Desempenho abaixo do esperado
COL-0109,27,Masculino,Divorciado(a),Não informado,Marketing,Analista de Marketing,2,2025-12-07,0,7650.0,15,Não,Raramente,3,2,3,2,3,Não,Não,,Não se aplica
COL-0110,34,Masculino,Casado(a),Graduação,Comercial,Executivo de Contas,2,2018-12-14,7,7850.0,11,Não,Nunca,5,1,4,5,3,Não,Sim,2022-02-22 07:39:33.677,Qualidade de vida
COL-0111,32,Feminino,Divorciado(a),Tecnólogo,Tecnologia,Desenvolvedor,2,2021-12-03,4,8800.0,49,Sim,Não informado,4,4,1,3,6,Não,Não,,Não se aplica
COL-0112,57,Masculino,União estável,Pós-graduação,Comercial,Gerente Comercial,5,2018-08-16,7,12950.0,31,Não,Raramente,3,2,4,3,1,Não,Não,,Não se aplica
COL-0113,53,Masculino,Solteiro(a),Graduação,Recursos Humanos,Business Partner,4,2024-02-24,2,11200.0,30,Não,Nunca,4,3,3,2,5,Não,Não,,Não se aplica
COL-0114,55,Feminino,Casado(a),Tecnólogo,Financeiro,Especialista Financeiro,5,2012-09-03,14,12900.0,29,Sim,Raramente,3,5,3,4,3,Não,Sim,2024-06-28 07:36:36.122,Nova oportunidade profissional
COL-0115,58,Masculino,Casado(a),Ensino médio,Financeiro,Especialista Financeiro,5,2017-04-25,9,13950.0,30,Sim,Frequentemente,4,1,2,3,3,Não,Não,,Não se aplica
COL-0116,34,Feminino,Casado(a),Graduação,Operações,Analista de Operações,2,2012-07-10,13,7450.0,35,Não,Raramente,3,1,1,5,3,Não,Não,,Não se aplica
COL-0117,47,Masculino,Solteiro(a),Não informado,Operações,Coordenador de Operações,3,2025-07-03,0,9700.0,50,Não,Raramente,1,2,5,3,3,Não,Não,,Não se aplica
COL-0118,44,Masculino,Casado(a),Graduação,Recursos Humanos,Analista de RH,2,2021-07-23,4,7575.0,45,Não,Raramente,1,3,1,2,1,Não,Não,,Não se aplica
COL-0119,46,Não binário,Divorciado(a),Graduação,Marketing,Especialista de Marketing,3,2024-01-11,2,9600.0,35,Não,Não informado,1,1,4,4,2,Sim,Não,,Não se aplica
COL-0120,53,Masculino,Casado(a),Ensino médio,Tecnologia,Analista de Dados,3,2017-08-07,8,10350.0,52,Não,Nunca,3,2,2,4,3,Não,Não,,Não se aplica
COL-0121,47,Masculino,União estável,Mestrado,Comercial,Analista Comercial,4,2023-10-07,2,10950.0,47,Não,Frequentemente,4,3,5,3,2,Sim,Não,,Não se aplica
COL-0122,23,Feminino,Casado(a),Graduação,Financeiro,Analista Financeiro,2,2023-05-24,3,7850.0,15,Sim,Frequentemente,2,1,3,3,6,Não,Não,,Não se aplica
COL-0123,47,Masculino,Solteiro(a),Mestrado,Tecnologia,Analista de Dados,3,2021-05-17,4,10250.0,11,Sim,Raramente,5,4,2,3,1,Não,Não,,Não se aplica
COL-0124,31,Masculino,Casado(a),Graduação,Operações,Analista de Operações,2,2012-03-25,13,6900.0,40,Não,Raramente,1,5,5,3,3,Não,Não,,Não se aplica
COL-0125,58,Não binário,União estável,Não informado,Tecnologia,Engenheiro de Dados,5,2015-07-26,11,13700.0,18,Sim,Frequentemente,2,2,4,5,6,Não,Não,,Não se aplica
COL-0126,28,Masculino,Divorciado(a),Ensino médio,Recursos Humanos,Analista de RH,2,2023-03-02,2,7575.0,50,Não,Raramente,2,5,2,2,4,Não,Não,,Não se aplica
COL-0127,45,Feminino,Casado(a),Ensino médio,Tecnologia,Analista de Dados,3,2021-08-16,5,10300.0,14,Não,Não informado,5,5,1,4,4,Não,Não,,Não se aplica
COL-0128,34,Não binário,Divorciado(a),Graduação,Comercial,Executivo de Contas,2,2021-11-16,4,8350.0,27,Não,Frequentemente,3,2,2,3,0,Sim,Sim,2025-05-23 23:57:16.008,Nova oportunidade profissional
COL-0129,49,Feminino,Divorciado(a),Pós-graduação,Marketing,Especialista de Marketing,3,2023-04-25,2,9850.0,6,Sim,Raramente,1,3,5,4,4,Não,Não,,Não se aplica
COL-0130,33,Feminino,Casado(a),Pós-graduação,Comercial,Executivo de Contas,2,2015-05-03,11,7600.0,1,Não,Raramente,5,4,3,4,0,Sim,Não,,Não se aplica
COL-0131,21,Feminino,União estável,Mestrado,Atendimento,Assistente de Atendimento,1,2025-04-07,0,5150.0,23,Não,Nunca,5,1,4,3,3,Não,Sim,2026-07-07 03:24:11.173,Qualidade de vida
COL-0132,45,Feminino,Casado(a),Tecnólogo,Comercial,Analista Comercial,3,2023-04-12,3,9450.0,35,Não,Nunca,3,3,1,3,2,Não,Sim,2024-04-20 16:25:38.539,Nova oportunidade profissional
COL-0133,36,Masculino,Casado(a),Não informado,Recursos Humanos,Analista de RH,1,2023-09-26,2,5350.0,18,Sim,Raramente,4,4,5,3,3,Não,Sim,2024-12-02 20:37:46.382,Mudança de cidade
COL-0134,22,Feminino,Divorciado(a),Ensino médio,Tecnologia,Desenvolvedor,1,2025-11-20,0,7300.0,24,Não,Raramente,1,1,5,3,5,Não,Não,,Não se aplica
COL-0135,45,Masculino,União estável,Tecnólogo,Tecnologia,Desenvolvedor,2,2022-05-03,4,8600.0,1,Não,Não informado,5,5,5,5,1,Não,Não,,Não se aplica
COL-0136,43,Masculino,Divorciado(a),Graduação,Marketing,Especialista de Marketing,3,2016-04-07,9,9050.0,4,Não,Frequentemente,3,1,2,3,3,Não,Não,,Não se aplica
COL-0137,53,Masculino,Casado(a),Ensino médio,Marketing,Especialista de Marketing,4,2011-02-04,14,10650.0,7,Sim,Nunca,3,3,3,2,1,Sim,Não,,Não se aplica
COL-0138,43,Masculino,Casado(a),Ensino médio,Atendimento,Analista de Atendimento,3,2018-07-08,8,7550.0,7,Sim,Raramente,5,3,3,3,1,Sim,Não,,Não se aplica
COL-0139,37,Feminino,Casado(a),Pós-graduação,Tecnologia,Analista de Dados,3,2011-10-11,14,10450.0,40,Sim,Nunca,3,4,5,3,2,Não,Não,,Não se aplica
COL-0140,35,Feminino,Solteiro(a),Mestrado,Atendimento,Assistente de Atendimento,2,2023-01-07,2,6850.0,9,Não,Nunca,1,4,5,2,3,Não,Não,,Não se aplica
COL-0141,47,Feminino,Divorciado(a),Não informado,Comercial,Analista Comercial,4,2018-10-19,8,11300.0,30,Sim,Raramente,3,2,2,3,0,Sim,Não,,Não se aplica
COL-0142,48,Feminino,Divorciado(a),Graduação,Recursos Humanos,Business Partner,3,2012-08-28,13,9250.0,20,Não,Nunca,4,3,1,3,4,Não,Sim,2023-01-24 22:02:04.763,Falta de perspectiva de crescimento
